Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,34.65,415.8,USD,Number of NAT Gateways (1),,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,70.66,847.92,USD,S3 Standard storage (3 TB per month),,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
",,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,662.785,7953.42,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB),  Inbound (from: Internet) 0 TB per month 
 Outbound (to: Amazon Cloud Front) 5 TB per month 
 Outbound (to: Internet) 5 TB per month 
 Intra-Region 0 TB per month 
, Workload (Consistent, Number of instances: 1)",,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,5093.652,61123.82,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10 TB), Additional backup storage (15 TB)",,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,500.05,6000.6,USD,Number of Application Load Balancers (2),,,,,,,,,,,
Reduced_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,0.5,6,USD,Hosted Zones (1),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://calculator.aws/#/estimate?id=9cbf71d8403880304dc243cc82a92e96f7c647b4,,,,,,,,,,,,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,,
