Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
d17a3ecd-fbb5-4e39-8800-3b2a0adc3646,"2020-07-23, 07:02:20 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
8aff2b4a-14cf-4450-b088-84b998e15bf8,"2020-07-23, 07:01:51 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,134.176.67.87
c984b23c-cd20-4bb9-b1e9-02f63fc4482e,"2020-07-23, 07:01:03 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
29e82b42-f9f3-4b01-afee-70bcc2090cd4,"2020-07-23, 07:00:24 PM",Accountant,ConsoleLogin,,,,us-east-1,,134.176.67.87
870c4333-8916-4456-b7d9-78dbca723094,"2020-07-23, 06:58:05 PM",Architect,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,134.176.67.87
434d30e5-ea63-4c15-bd21-6e9b9153de0e,"2020-07-23, 06:58:04 PM",Architect,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU6T3M2GCBCZYTJLG2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::340634947972:user/CloudTrail""}]",,us-east-1,,134.176.67.87
981c49de-066f-425c-bc5a-3b226eb5ce61,"2020-07-23, 06:58:04 PM",Architect,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,134.176.67.87
a808949d-2d29-421a-b38c-a84c3eeea9fc,"2020-07-23, 06:58:04 PM",Architect,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,134.176.67.87
3c3b09cc-9d4f-471a-87c1-1dec911d2408,"2020-07-23, 06:55:31 PM",Architect,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAU6T3M2GCFVRE33PFU""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::340634947972:group/Reviewers""}]",,us-east-1,,134.176.67.87
dcecf7a5-be91-40e0-8863-28b33477402c,"2020-07-23, 06:55:31 PM",Architect,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,134.176.67.87
18392170-6c73-4fee-a726-46b9f82a63b1,"2020-07-23, 06:55:00 PM",Architect,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,134.176.67.87
3d943645-4cb7-4183-ab48-a86311d9f2a5,"2020-07-23, 06:55:00 PM",Architect,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,134.176.67.87
dcbef748-0260-4623-b652-e34cf9dd1ec0,"2020-07-23, 06:55:00 PM",Architect,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAU6T3M2GCDK3S3YLE4""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::340634947972:group/CloudTrailAdmins""}]",,us-east-1,,134.176.67.87
9ab35ec0-d9e6-484e-b660-1e58aac64282,"2020-07-23, 06:45:59 PM",Architect,UpdateAccountPasswordPolicy,,,,us-east-1,,134.176.67.87
1fd8dd17-7a5a-49f9-97fa-0b95d0a17bd0,"2020-07-23, 06:42:13 PM",Architect,ConsoleLogin,,,,us-east-1,,134.176.67.87
2946c9f5-f91d-4f77-b8cd-f080fe7e73b7,"2020-07-23, 06:38:32 PM",Architect,ConsoleLogin,,,,us-east-1,,134.176.245.81
